Использование памяти (RSS): 306.98 MB
Использование CPU: 0.00%

         190403 function calls (179442 primitive calls) in 2.577 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       36    0.000    0.000    0.001    0.000 nest_util.py:174(sequence_like)
       24    0.000    0.000    0.001    0.000 nest.py:423(pack_sequence_as)
     3091    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      178    0.000    0.000    0.001    0.000 tensor_shape.py:820(__init__)
       12    0.000    0.000    0.001    0.000 dataset.py:1024(read_direct)
        1    0.000    0.000    0.001    0.001 audio_segment.py:824(export)
      182    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 dataset_ops.py:1343(repeat)
       56    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
       26    0.000    0.000    0.001    0.000 ops.py:4819(executing_eagerly_outside_functions)
      147    0.000    0.000    0.001    0.000 dtypes.py:194(is_compatible_with)
        1    0.000    0.000    0.001    0.001 repeat_op.py:24(_repeat)
        1    0.000    0.000    0.001    0.001 repeat_op.py:31(__init__)
      115    0.000    0.000    0.001    0.000 variables.py:510(standardize_shape)
        1    0.000    0.000    0.001    0.001 trainer.py:191(make_predict_function)
       91    0.000    0.000    0.001    0.000 layer.py:1545(_open_name_scope)
        1    0.000    0.000    0.001    0.001 __init__.py:219(finditer)
        4    0.000    0.000    0.001    0.000 function_type_utils.py:454(_validate_signature)
     3622    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
       52    0.000    0.000    0.001    0.000 nest.py:41(flatten)
        1    0.000    0.000    0.001    0.001 utils.py:188(get_prober_name)
        1    0.000    0.000    0.001    0.001 concatenate_op.py:34(common_supertype)
        2    0.000    0.000    0.001    0.000 utils.py:144(which)
        1    0.000    0.000    0.001    0.001 type_spec.py:148(most_specific_common_supertype)
       32    0.001    0.000    0.001    0.000 dataset.py:659(__init__)
      107    0.000    0.000    0.001    0.000 core.py:652(__exit__)
        2    0.000    0.000    0.001    0.000 trainer.py:704(catch_stop_iteration)
       32    0.000    0.000    0.001    0.000 base.py:278(file)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       43    0.000    0.000    0.001    0.000 tensor_conversion_registry.py:152(<genexpr>)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        9    0.000    0.000    0.001    0.000 structure.py:443(type_spec_from_value)
       37    0.000    0.000    0.001    0.000 naming.py:8(auto_name)
      507    0.000    0.000    0.001    0.000 compat.py:85(as_text)
       55    0.000    0.000    0.001    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
        9    0.000    0.000    0.001    0.000 type_spec.py:1007(_type_spec_from_value)
      128    0.000    0.000    0.001    0.000 layer.py:1609(<genexpr>)
        1    0.000    0.000    0.001    0.001 backend.py:1(<module>)
        4    0.000    0.000    0.001    0.000 func_graph.py:163(__init__)
      120    0.000    0.000    0.001    0.000 ops.py:4714(init_scope)
        7    0.000    0.000    0.001    0.000 function_type_utils.py:362(make_canonicalized_monomorphic_type)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        6    0.000    0.000    0.001    0.000 structure.py:322(_to_tensor_list_helper)
        7    0.000    0.000    0.001    0.000 _compiler.py:573(_code)
        7    0.000    0.000    0.001    0.000 function_type.py:531(canonicalize_to_monomorphic)
       71    0.000    0.000    0.001    0.000 op_def_library.py:816(value_to_attr_value)
      400    0.000    0.000    0.001    0.000 dtypes.py:96(base_dtype)
        8    0.000    0.000    0.001    0.000 data_structures.py:791(__init__)
       61    0.000    0.000    0.001    0.000 ops.py:255(__new__)
    65/13    0.000    0.000    0.001    0.000 trace_type_builder.py:127(from_value)
      8/2    0.000    0.000    0.001    0.000 weak_tensor_ops.py:86(wrapper)
       76    0.000    0.000    0.001    0.000 inspect.py:2120(_signature_bound_method)
      204    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       35    0.000    0.000    0.001    0.000 distribute_lib.py:385(_get_per_thread_mode)
       47    0.000    0.000    0.001    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:6488(repeat_dataset)
       22    0.000    0.000    0.001    0.000 __init__.py:299(loads)
        5    0.000    0.000    0.000    0.000 structure.py:391(to_tensor_list)
      307    0.000    0.000    0.000    0.000 inspect.py:1793(_check_instance)
      232    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
        1    0.000    0.000    0.000    0.000 default_types.py:249(placeholder_value)
       22    0.000    0.000    0.000    0.000 resource_variable_ops.py:330(variable_accessed)
        7    0.000    0.000    0.000    0.000 variable_utils.py:23(convert_variables_to_tensors)
      211    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
      247    0.000    0.000    0.000    0.000 traceback_utils.py:32(is_traceback_filtering_enabled)
      187    0.000    0.000    0.000    0.000 compat.py:57(as_bytes)
       62    0.000    0.000    0.000    0.000 typing_extensions.py:626(__instancecheck__)
        1    0.000    0.000    0.000    0.000 nn_ops.py:3869(softmax_v2)
        4    0.000    0.000    0.000    0.000 auto_control_deps.py:265(__enter__)
       17    0.000    0.000    0.000    0.000 array_ops.py:1292(_autopacking_conversion_function)
        1    0.000    0.000    0.000    0.000 nn_ops.py:3783(_wrap_2d_function)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
      474    0.000    0.000    0.000    0.000 ops.py:4631(get_default)
       17    0.000    0.000    0.000    0.000 array_ops.py:1282(_should_not_autopack)
       14    0.000    0.000    0.000    0.000 distribute_lib.py:542(get_strategy)
       22    0.000    0.000    0.000    0.000 __init__.py:75(get)
        8    0.000    0.000    0.000    0.000 nest.py:1264(flatten_with_tuple_paths)
        6    0.000    0.000    0.000    0.000 nest_util.py:521(_tf_core_assert_same_structure)
        1    0.000    0.000    0.000    0.000 file_utils.py:465(isdir)
      132    0.000    0.000    0.000    0.000 ops.py:5493(name_scope)
        4    0.000    0.000    0.000    0.000 concrete_function.py:1021(__init__)
      291    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE927A3790}
        6    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.util._pywrap_utils.AssertSameStructure}
        1    0.000    0.000    0.000    0.000 gen_nn_ops.py:12672(softmax)
       22    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       10    0.000    0.000    0.000    0.000 distribute_lib.py:562(has_strategy)
       37    0.000    0.000    0.000    0.000 naming.py:27(to_snake_case)
       51    0.000    0.000    0.000    0.000 keras_tensor.py:346(any_symbolic_tensors)
     33/7    0.000    0.000    0.000    0.000 tracking.py:23(wrapper)
       36    0.000    0.000    0.000    0.000 traceback_utils.py:129(inject_argument_info_in_traceback)
       15    0.000    0.000    0.000    0.000 dtypes.py:281(result_type)
       16    0.000    0.000    0.000    0.000 handle_data_util.py:83(create_handle_data)
       27    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      123    0.000    0.000    0.000    0.000 variables.py:563(is_int_dtype)
       95    0.000    0.000    0.000    0.000 op_def_registry.py:32(get)
        8    0.000    0.000    0.000    0.000 polymorphic_function.py:629(_generate_tracing_options)
        2    0.000    0.000    0.000    0.000 file_utils.py:410(is_remote_path)
        4    0.000    0.000    0.000    0.000 concrete_function.py:1501(captured_inputs)
       10    0.000    0.000    0.000    0.000 __init__.py:65(deserialize)
       43    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        9    0.000    0.000    0.000    0.000 atomic_function.py:141(definition)
2305/2226    0.000    0.000    0.000    0.000 {built-in method builtins.len}
  200/182    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     52/7    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
      400    0.000    0.000    0.000    0.000 dtypes.py:83(_is_ref_dtype)
      149    0.000    0.000    0.000    0.000 api_export.py:37(__call__)
        8    0.000    0.000    0.000    0.000 function_type_utils.py:383(canonicalize_function_inputs)
        9    0.000    0.000    0.000    0.000 context.py:1444(get_function_def)
       78    0.000    0.000    0.000    0.000 tensor.py:271(shape)
      299    0.000    0.000    0.000    0.000 tensor_shape.py:728(as_dimension)
      108    0.000    0.000    0.000    0.000 ops.py:5782(__exit__)
       63    0.000    0.000    0.000    0.000 lock_util.py:125(__enter__)
       12    0.000    0.000    0.000    0.000 resource_variable_ops.py:2390(__init__)
      107    0.000    0.000    0.000    0.000 core.py:630(__init__)
        8    0.000    0.000    0.000    0.000 function_type_utils.py:428(bind_function_inputs)
      185    0.000    0.000    0.000    0.000 tensor.py:757(__tf_tensor__)
      111    0.000    0.000    0.000    0.000 ops.py:1155(<genexpr>)
      144    0.000    0.000    0.000    0.000 context.py:1059(_mode)
        1    0.000    0.000    0.000    0.000 trainer.py:701(tf_sync)
      950    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewOperation}
        8    0.000    0.000    0.000    0.000 core.py:106(from_callable)
       63    0.000    0.000    0.000    0.000 lock_util.py:128(__exit__)
      694    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
       86    0.000    0.000    0.000    0.000 ops.py:3395(unique_name)
        1    0.000    0.000    0.000    0.000 context.py:2917(async_wait)
        9    0.000    0.000    0.000    0.000 saving_utils.py:229(_find_replace_nested_dict)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphToFunction_wrapper}
      280    0.000    0.000    0.000    0.000 object_identity.py:223(update)
      111    0.000    0.000    0.000    0.000 __init__.py:179(sub)
       35    0.000    0.000    0.000    0.000 layer.py:1507(_set_mask_metadata)
      916    0.000    0.000    0.000    0.000 layer.py:333(<lambda>)
        4    0.000    0.000    0.000    0.000 function_type.py:214(from_callable)
      273    0.000    0.000    0.000    0.000 tensor_shape.py:830(<genexpr>)
       63    0.000    0.000    0.000    0.000 lock_util.py:85(acquire)
        1    0.000    0.000    0.000    0.000 wave.py:562(writeframesraw)
        8    0.000    0.000    0.000    0.000 function_type.py:262(bind_with_defaults)
        7    0.000    0.000    0.000    0.000 __init__.py:36(deserialize)
       36    0.000    0.000    0.000    0.000 layer.py:1473(_get_call_context)
        2    0.000    0.000    0.000    0.000 utils.py:53(_fd_or_path_or_tempfile)
       63    0.000    0.000    0.000    0.000 ops.py:3640(_apply_device_functions)
        1    0.000    0.000    0.000    0.000 saving_utils.py:249(try_build_compiled_arguments)
        8    0.000    0.000    0.000    0.000 atomic_function.py:146(attributes)
        5    0.000    0.000    0.000    0.000 threading.py:975(start)
        1    0.000    0.000    0.000    0.000 __init__.py:428(warning)
        1    0.000    0.000    0.000    0.000 __init__.py:558(log)
        1    0.000    0.000    0.000    0.000 polymorphic_function.py:1300(function)
       21    0.000    0.000    0.000    0.000 dtypes.py:73(__init__)
        9    0.000    0.000    0.000    0.000 function_type.py:518(_make_validated_mono_param)
      435    0.000    0.000    0.000    0.000 enum.py:726(__call__)
    163/6    0.000    0.000    0.000    0.000 tree_api.py:124(map_structure)
        1    0.000    0.000    0.000    0.000 polymorphic_function.py:1645(decorated)
       22    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       63    0.000    0.000    0.000    0.000 lock_util.py:95(release)
        7    0.000    0.000    0.000    0.000 constant_op.py:337(_tensor_shape_tensor_conversion_function)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
       66    0.000    0.000    0.000    0.000 ops.py:508(shape)
       11    0.000    0.000    0.000    0.000 dataset_ops.py:675(_common_args)
        1    0.000    0.000    0.000    0.000 sequential.py:66(__new__)
       10    0.000    0.000    0.000    0.000 nest_util.py:413(assert_same_structure)
        1    0.000    0.000    0.000    0.000 files.py:215(make_fid)
        5    0.000    0.000    0.000    0.000 ops.py:1974(__init__)
       57    0.000    0.000    0.000    0.000 ops.py:3040(_get_tensor_by_tf_output)
     29/3    0.000    0.000    0.000    0.000 auto_control_deps.py:606(_get_resource_inputs)
       18    0.000    0.000    0.000    0.000 options.py:734(_set_mutable)
        1    0.000    0.000    0.000    0.000 context.py:794(sync_executors)
       73    0.000    0.000    0.000    0.000 masking.py:9(get_keras_mask)
        6    0.000    0.000    0.000    0.000 nest.py:45(assert_same_structure)
       15    0.000    0.000    0.000    0.000 ops.py:1498(_set_attr)
        1    0.000    0.000    0.000    0.000 adam.py:81(build)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       65    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       76    0.000    0.000    0.000    0.000 inspect.py:3093(replace)
       18    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
       69    0.000    0.000    0.000    0.000 data_structures.py:175(__init__)
        5    0.000    0.000    0.000    0.000 dtypes.py:150(max)
        6    0.000    0.000    0.000    0.000 nest_util.py:541(_tf_data_assert_same_structure)
      141    0.000    0.000    0.000    0.000 object_identity.py:182(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1594(log)
       56    0.000    0.000    0.000    0.000 tpu.py:184(tpu_replicated_input_resolver)
       69    0.000    0.000    0.000    0.000 base_optimizer.py:957(__setattr__)
     1415    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      119    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
     1068    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       72    0.000    0.000    0.000    0.000 inspect.py:2945(apply_defaults)
        6    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.util._pywrap_utils.AssertSameStructureForData}
      168    0.000    0.000    0.000    0.000 registry.py:81(lookup)
        5    0.000    0.000    0.000    0.000 func_graph.py:81(encode_arg)
       11    0.000    0.000    0.000    0.000 <string>:2(__init__)
       33    0.000    0.000    0.000    0.000 layer.py:1627(get_shapes_dict)
       18    0.000    0.000    0.000    0.000 encoder.py:183(encode)
      205    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        2    0.000    0.000    0.000    0.000 seed_generator.py:70(seed_initializer)
        4    0.000    0.000    0.000    0.000 api.py:493(tf_convert)
       73    0.000    0.000    0.000    0.000 tensor_attributes.py:19(get_tensor_attr)
        1    0.000    0.000    0.000    0.000 __init__.py:1141(log)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       39    0.000    0.000    0.000    0.000 op_def_library.py:367(_CanExtractAttrsFastPath)
       43    0.000    0.000    0.000    0.000 tensor_shape.py:1443(as_proto)
      857    0.000    0.000    0.000    0.000 layer.py:348(<lambda>)
    34/31    0.000    0.000    0.000    0.000 nest_util.py:545(_tf_core_packed_nest_with_indices)
       56    0.000    0.000    0.000    0.000 auto_control_deps.py:587(_identity_resolver)
      342    0.000    0.000    0.000    0.000 tensor.py:262(dtype)
       31    0.000    0.000    0.000    0.000 tracking.py:199(__init__)
        2    0.000    0.000    0.000    0.000 context.py:1188(config)
        1    0.000    0.000    0.000    0.000 range_op.py:42(_parse_args)
       18    0.000    0.000    0.000    0.000 tensor_shape.py:1324(is_compatible_with)
        4    0.000    0.000    0.000    0.000 function_cache.py:67(add)
        9    0.000    0.000    0.000    0.000 serialization.py:570(_find_replace_nested_dict)
       20    0.000    0.000    0.000    0.000 ops.py:3464(_colocate_with_for_gradient)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      886    0.000    0.000    0.000    0.000 layer.py:337(<lambda>)
        3    0.000    0.000    0.000    0.000 range_op.py:65(_build_tensor)
        5    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       11    0.000    0.000    0.000    0.000 tracing_compilation.py:95(__post_init__)
       15    0.000    0.000    0.000    0.000 dtypes.py:250(_lattice_result_type)
  131/107    0.000    0.000    0.000    0.000 data_structures.py:812(__getattribute__)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(_log)
      886    0.000    0.000    0.000    0.000 layer.py:341(<lambda>)
        7    0.000    0.000    0.000    0.000 function.py:338(_build_map)
       30    0.000    0.000    0.000    0.000 structure.py:279(get_flat_tensor_specs)
       19    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       36    0.000    0.000    0.000    0.000 dtype_policy.py:199(_should_cast)
        1    0.000    0.000    0.000    0.000 files.py:570(close)
        3    0.000    0.000    0.000    0.000 api.py:679(decorator)
       52    0.000    0.000    0.000    0.000 tensor.py:853(__init__)
      886    0.000    0.000    0.000    0.000 layer.py:343(<lambda>)
       39    0.000    0.000    0.000    0.000 ops.py:2248(graph_def_versions)
    37/29    0.000    0.000    0.000    0.000 layer.py:1172(_clear_losses)
       63    0.000    0.000    0.000    0.000 ops.py:6019(_reconstruct_sequence_inputs)
       22    0.000    0.000    0.000    0.000 tensor.py:998(is_subtype_of)
       20    0.000    0.000    0.000    0.000 tape.py:77(variable_accessed)
      146    0.000    0.000    0.000    0.000 traceback_utils.py:60(is_traceback_filtering_enabled)
      184    0.000    0.000    0.000    0.000 context.py:1094(scope_name)
     21/8    0.000    0.000    0.000    0.000 trace_type_builder.py:162(<genexpr>)
       14    0.000    0.000    0.000    0.000 tensor.py:1098(cast)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       69    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       14    0.000    0.000    0.000    0.000 function_type.py:455(__hash__)
      6/5    0.000    0.000    0.000    0.000 default_types.py:348(to_tensors)
       11    0.000    0.000    0.000    0.000 function_type_utils.py:144(to_input_signature)
       91    0.000    0.000    0.000    0.000 tensor_shape.py:899(dims)
        6    0.000    0.000    0.000    0.000 context.py:2258(__enter__)
       30    0.000    0.000    0.000    0.000 nest_util.py:1100(<genexpr>)
        2    0.000    0.000    0.000    0.000 options.py:685(_to_proto)
        8    0.000    0.000    0.000    0.000 data_structures.py:900(_update_snapshot)
       31    0.000    0.000    0.000    0.000 tracking.py:117(add_to_store)
      239    0.000    0.000    0.000    0.000 ops.py:377(dtype)
        2    0.000    0.000    0.000    0.000 progbar.py:62(update)
        6    0.000    0.000    0.000    0.000 structure.py:344(reduce_fn)
     40/3    0.000    0.000    0.000    0.000 auto_control_deps_utils.py:85(get_read_write_resource_inputs)
        1    0.000    0.000    0.000    0.000 image.py:1(<module>)
      149    0.000    0.000    0.000    0.000 api_export.py:34(__init__)
     10/5    0.000    0.000    0.000    0.000 default_types.py:256(to_tensors)
       13    0.000    0.000    0.000    0.000 typing.py:1874(__subclasscheck__)
      112    0.000    0.000    0.000    0.000 auto_control_deps.py:591(update)
       92    0.000    0.000    0.000    0.000 ops.py:5772(_restore_name_scope)
       16    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.framework._op_def_registry.get}
       47    0.000    0.000    0.000    0.000 ops.py:3068(as_default)
      106    0.000    0.000    0.000    0.000 layer.py:732(compute_dtype)
      130    0.000    0.000    0.000    0.000 c_api_util.py:191(tf_buffer)
       16    0.000    0.000    0.000    0.000 ops.py:4499(colocate_with)
       35    0.000    0.000    0.000    0.000 {method 'ParseFromString' of 'google._upb._message.Message' objects}
       66    0.000    0.000    0.000    0.000 name_scope.py:64(current_path)
       42    0.000    0.000    0.000    0.000 op_def_library.py:188(_MakeType)
     35/7    0.000    0.000    0.000    0.000 function.py:376(_build_map_helper)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       57    0.000    0.000    0.000    0.000 ops.py:3011(_get_operation_by_tf_operation)
       37    0.000    0.000    0.000    0.000 tracking.py:205(__setitem__)
       65    0.000    0.000    0.000    0.000 tree_api.py:20(is_nested)
        1    0.000    0.000    0.000    0.000 __init__.py:120(dump)
      111    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 threading.py:637(wait)
       63    0.000    0.000    0.000    0.000 op_callbacks.py:114(should_invoke_op_callbacks)
        2    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
        9    0.000    0.000    0.000    0.000 trace_type_builder.py:170(<genexpr>)
      112    0.000    0.000    0.000    0.000 tpu.py:203(replace_with_unreplicated_resources)
      149    0.000    0.000    0.000    0.000 export.py:58(__call__)
       63    0.000    0.000    0.000    0.000 ops.py:1233(_control_flow_post_processing)
       29    0.000    0.000    0.000    0.000 core.py:71(shape)
       26    0.000    0.000    0.000    0.000 function_type.py:188(__init__)
       16    0.000    0.000    0.000    0.000 ops.py:4454(_colocate_with_for_gradient)
       10    0.000    0.000    0.000    0.000 tensor.py:345(_shape_tuple)
        1    0.000    0.000    0.000    0.000 epoch_iterator.py:48(__init__)
       57    0.000    0.000    0.000    0.000 ops.py:5606(__exit__)
        1    0.000    0.000    0.000    0.000 callback_list.py:246(on_predict_end)
      294    0.000    0.000    0.000    0.000 ops.py:4214(_device_function_stack)
       20    0.000    0.000    0.000    0.000 tracking.py:63(__init__)
       20    0.000    0.000    0.000    0.000 ops.py:3481(colocate_with)
       51    0.000    0.000    0.000    0.000 dtypes.py:277(__ne__)
       39    0.000    0.000    0.000    0.000 op_def_library.py:393(_ExtractDefaultTypesAndAllowedTypes)
       78    0.000    0.000    0.000    0.000 options.py:38(__eq__)
       69    0.000    0.000    0.000    0.000 optree_impl.py:27(is_nested)
       69    0.000    0.000    0.000    0.000 layer_utils.py:69(__init__)
       10    0.000    0.000    0.000    0.000 tensor.py:339(_shape_as_list)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       39    0.000    0.000    0.000    0.000 op_def_library.py:700(_ExtractRemainingAttrs)
       73    0.000    0.000    0.000    0.000 context.py:316(push)
      252    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
   153/55    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       32    0.000    0.000    0.000    0.000 ops.py:3971(_attr_scope)
     1733    0.000    0.000    0.000    0.000 operation.py:306(_setattr_hook)
       90    0.000    0.000    0.000    0.000 tensor_shape.py:1544(as_shape)
        1    0.000    0.000    0.000    0.000 callback_list.py:186(on_predict_batch_end)
      604    0.000    0.000    0.000    0.000 inspect.py:3072(<genexpr>)
      462    0.000    0.000    0.000    0.000 context.py:2353(context)
      123    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 io_utils.py:92(print_msg)
      166    0.000    0.000    0.000    0.000 ops.py:4299(_control_dependencies_stack)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 progbar_logger.py:75(on_predict_end)
       63    0.000    0.000    0.000    0.000 lock_util.py:105(_another_group_active)
        2    0.000    0.000    0.000    0.000 json_utils.py:46(decode)
        3    0.000    0.000    0.000    0.000 structure.py:232(from_compatible_tensor_list)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 progbar_logger.py:97(_finalize_progbar)
      295    0.000    0.000    0.000    0.000 ops.py:3261(_name_stack)
       12    0.000    0.000    0.000    0.000 dataset.py:559(dtype)
        1    0.000    0.000    0.000    0.000 layers.py:1(<module>)
      354    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 callback_list.py:100(set_model)
        7    0.000    0.000    0.000    0.000 nest.py:69(pack_sequence_as)
       43    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
        1    0.000    0.000    0.000    0.000 callback_list.py:109(_async_dispatch)
        3    0.000    0.000    0.000    0.000 conversion.py:69(is_unsupported)
        3    0.000    0.000    0.000    0.000 structure.py:197(_from_tensor_list_helper)
       50    0.000    0.000    0.000    0.000 dtypes.py:251(<genexpr>)
        2    0.000    0.000    0.000    0.000 base_optimizer.py:204(_track_variable)
       11    0.000    0.000    0.000    0.000 dataset_ops.py:630(_flat_shapes)
        6    0.000    0.000    0.000    0.000 tensor.py:1080(to_tensors)
        4    0.000    0.000    0.000    0.000 function_type.py:229(get_default_values)
       83    0.000    0.000    0.000    0.000 variables.py:569(get_autocast_scope)
        7    0.000    0.000    0.000    0.000 function_cache.py:43(lookup)
       15    0.000    0.000    0.000    0.000 structure.py:296(get_flat_tensor_shapes)
       10    0.000    0.000    0.000    0.000 func_graph.py:266(watch_variable)
       34    0.000    0.000    0.000    0.000 base.py:329(attrs)
       75    0.000    0.000    0.000    0.000 stateless_scope.py:100(in_stateless_scope)
       25    0.000    0.000    0.000    0.000 ops.py:4675(_get_outer_context_and_inner_device_stack)
        4    0.000    0.000    0.000    0.000 context.py:1400(add_c_function)
       70    0.000    0.000    0.000    0.000 layer.py:1510(<genexpr>)
       87    0.000    0.000    0.000    0.000 base.py:173(_e)
        2    0.000    0.000    0.000    0.000 data_structures.py:627(append)
      479    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
        3    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       15    0.000    0.000    0.000    0.000 ops.py:1507(_set_attr_with_buf)
        8    0.000    0.000    0.000    0.000 nest_util.py:922(_tf_data_pack_sequence_as)
      400    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
       70    0.000    0.000    0.000    0.000 threading.py:394(notify)
        2    0.000    0.000    0.000    0.000 autograph_util.py:23(py_func_from_autograph)
      112    0.000    0.000    0.000    0.000 auto_control_deps.py:144(op_is_stateful)
        1    0.000    0.000    0.000    0.000 lazy_loader.py:124(_initialize)
        3    0.000    0.000    0.000    0.000 conversion.py:112(is_allowlisted)
        1    0.000    0.000    0.000    0.000 __init__.py:17(get_data_adapter)
       63    0.000    0.000    0.000    0.000 ops.py:4346(_mutation_lock)
        1    0.000    0.000    0.000    0.000 thread.py:164(submit)
        1    0.000    0.000    0.000    0.000 __init__.py:1160(handle)
       35    0.000    0.000    0.000    0.000 dtypes.py:175(_dtype_and_weaktype)
      126    0.000    0.000    0.000    0.000 {method 'ByteSize' of 'google._upb._message.Message' objects}
        4    0.000    0.000    0.000    0.000 tracing_compilation.py:356(_set_arg_keywords)
       37    0.000    0.000    0.000    0.000 variables.py:557(is_float_dtype)
       20    0.000    0.000    0.000    0.000 distribute_lib.py:4205(get_local_results_or_value_container)
      580    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       94    0.000    0.000    0.000    0.000 stack.py:52(get_controller)
      122    0.000    0.000    0.000    0.000 record.py:54(stop_recording)
       69    0.000    0.000    0.000    0.000 ops.py:604(tree_is_leaf)
      107    0.000    0.000    0.000    0.000 name_scope.py:56(__exit__)
       24    0.000    0.000    0.000    0.000 selections.py:227(__init__)
       78    0.000    0.000    0.000    0.000 tf_decorator.py:272(unwrap)
        7    0.000    0.000    0.000    0.000 function_context.py:39(make_function_context)
     1030    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 array_data_adapter.py:15(__init__)
        7    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.000    0.000 __init__.py:1746(callHandlers)
       17    0.000    0.000    0.000    0.000 function_type.py:60(__init__)
